"","RoomTemp","MilkTemp","Time"
"1",21,4.2,1
"2",21,4.40342803086768,2
"3",21,4.60439279008401,3
"4",21,4.80292410494075,4
"5",21,4.9990514415566,5
"6",21,5.1928039092506,6
"7",21,5.38421026486254,7
"8",21,5.57329891702104,8
"9",21,5.76009793036001,9
"10",21,5.94463502968401,10
"11",21,6.12693760408315,11
"12",21,6.30703271099825,12
"13",21,6.48494708023663,13
"14",21,6.66070711793947,14
"15",21,6.83433891050093,15
"16",21,7.00586822843997,16
"17",21,7.17532053022516,17
"18",21,7.34272096605333,18
"19",21,7.50809438158227,19
"20",21,7.67146532161842,20
"21",21,7.83285803375978,21
"22",21,7.99229647199475,22
"23",21,8.14980430025741,23
"24",21,8.30540489593973,24
"25",21,8.45912135336125,25
"26",21,8.61097648719674,26
"27",21,8.7609928358624,27
"28",21,8.90919266486097,28
"29",21,9.05559797008643,29
"30",21,9.20023048108865,30
"31",21,9.34311166429845,31
"32",21,9.4842627262137,32
"33",21,9.62370461654679,33
"34",21,9.761458031334,34
"35",21,9.89754341600718,35
"36",21,10.0319809684283,36
"37",21,10.1647906418874,37
"38",21,10.2959921480636,38
"39",21,10.4256049599512,39
"40",21,10.5536483147496,40
"41",21,10.6801412167188,41
"42",21,10.8051024399995,42
"43",21,10.9285505314,43
"44",21,11.0505038131488,44
"45",21,11.1709803856141,45
"46",21,11.28999812999,46
"47",21,11.4075747109505,47
"48",21,11.5237275792718,48
"49",21,11.6384739744214,49
"50",21,11.7518309271179,50
"51",21,11.8638152618576,51
"52",21,11.9744435994126,52
"53",21,12.0837323592969,53
"54",21,12.1916977622039,54
"55",21,12.2983558324136,55
"56",21,12.4037224001709,56
"57",21,12.5078131040355,57
"58",21,12.6106433932026,58
"59",21,12.7122285297959,59
"60",21,12.8125835911331,60
"61",21,12.9117234719634,61
"62",21,13.0096628866784,62
"63",21,13.1064163714958,63
"64",21,13.201998286617,64
"65",21,13.2964228183584,65
"66",21,13.3897039812571,66
"67",21,13.4818556201508,67
"68",21,13.5728914122324,68
"69",21,13.6628248690806,69
"70",21,13.7516693386648,70
"71",21,13.8394380073263,71
"72",21,13.9261439017356,72
"73",21,14.0117998908255,73
"74",21,14.0964186877016,74
"75",21,14.1800128515288,75
"76",21,14.2625947893952,76
"77",21,14.3441767581542,77
"78",21,14.424770866243,78
"79",21,14.5043890754802,79
"80",21,14.5830432028408,80
"81",21,14.6607449222103,81
"82",21,14.7375057661176,82
"83",21,14.8133371274462,83
"84",21,14.8882502611251,84
"85",21,14.9622562857998,85
"86",21,15.0353661854821,86
"87",21,15.1075908111806,87
"88",21,15.1789408825109,88
"89",21,15.2494269892868,89
"90",21,15.3190595930921,90
"91",21,15.3878490288334,91
"92",21,15.4558055062737,92
"93",21,15.5229391115479,93
"94",21,15.5892598086598,94
"95",21,15.6547774409611,95
"96",21,15.7195017326119,96
"97",21,15.7834422900247,97
"98",21,15.8466086032895,98
"99",21,15.9090100475825,99
"100",21,15.970655884558,100
"101",21,16.0315552637223,101
"102",21,16.0917172237923,102
"103",21,16.1511506940367,103
"104",21,16.2098644956013,104
"105",21,16.2678673428185,105
"106",21,16.3251678445004,106
"107",21,16.3817745052165,107
"108",21,16.4376957265562,108
"109",21,16.4929398083756,109
"110",21,16.5475149500294,110
"111",21,16.6014292515879,111
"112",21,16.6546907150392,112
"113",21,16.7073072454767,113
"114",21,16.7592866522727,114
"115",21,16.8106366502372,115
"116",21,16.8613648607629,116
"117",21,16.9114788129566,117
"118",21,16.9609859447567,118
"119",21,17.0098936040367,119
"120",21,17.0582090496964,120
"121",21,17.1059394527388,121
"122",21,17.1530918973346,122
"123",21,17.1996733818735,123
"124",21,17.2456908200033,124
"125",21,17.2911510416554,125
"126",3.71,17.1043094211774,126
"127",3.71,16.9200382596417,127
"128",3.71,16.7383021941611,128
"129",3.71,16.5590663483504,129
"130",3.71,16.3822963256335,130
"131",3.71,16.2079582026425,131
"132",3.71,16.0360185227077,132
"133",3.71,15.8664442894368,133
"134",3.71,15.6992029603829,134
"135",3.71,15.534262440799,135
"136",3.71,15.3715910774793,136
"137",3.71,15.2111576526845,137
"138",3.71,15.0529313781508,138
"139",3.71,14.8968818891816,139
"140",3.71,14.74297923882,140
"141",3.71,14.5911938921024,141
"142",3.71,14.44149672039,142
"143",3.71,14.2938589957787,143
"144",3.71,14.1482523855866,144
"145",3.71,14.0046489469164,145
"146",3.71,13.8630211212928,146
"147",3.71,13.7233417293745,147
"148",3.71,13.5855839657373,148
"149",3.71,13.4497213937311,149
"150",3.71,13.3157279404054,150
"151",3.71,13.1835778915066,151
"152",3.71,13.0532458865429,152
"153",3.71,12.9247069139174,153
"154",3.71,12.7979363061283,154
"155",3.71,12.672909735035,155
"156",3.71,12.5496032071895,156
"157",3.71,12.4279930592316,157
"158",3.71,12.3080559533481,158
"159",3.71,12.1897688727938,159
"160",3.71,12.0731091174747,160
"161",3.71,11.9580542995913,161
"162",3.71,11.8445823393429,162
"163",3.71,11.7326714606896,163
"164",3.71,11.6223001871738,164
"165",3.71,11.5134473377986,165
"166",3.71,11.4060920229628,166
"167",3.71,11.3002136404525,167
"168",3.71,11.1957918714871,168
"169",3.71,11.0928066768198,169
"170",3.71,10.9912382928926,170
"171",3.71,10.8910672280426,171
"172",3.71,10.7922742587624,172
"173",3.71,10.69484042601,173
"174",3.71,10.5987470315714,174
"175",3.71,10.5039756344715,175
"176",3.71,10.4105080474357,176
"177",3.71,10.3183263333992,177
"178",3.71,10.227412802065,178
"179",3.71,10.1377500065091,179
"180",3.71,10.049320739832,180
"181",3.71,9.96210803185702,181
"182",3.71,9.87609514587314,182
"183",3.71,9.7912655754234,183
"184",3.71,9.70760304113715,184
"185",3.71,9.62509148760587,185
"186",3.71,9.54371508030208,186
"187",3.71,9.46345820254057,187
"188",3.71,9.38430545248146,188
"189",3.71,9.30624164017445,189
"190",3.71,9.22925178464382,190
"191",3.71,9.15332111101342,191
"192",3.71,9.07843504767133,192
"193",3.71,9.00457922347341,193
"194",3.71,8.93173946498542,194
"195",3.71,8.85990179376304,195
"196",3.71,8.7890524236693,196
"197",3.71,8.7191777582289,197
"198",3.71,8.65026438801901,198
"199",3.71,8.58229908809589,199
"200",3.71,8.51526881545691,200
"201",3.71,8.44916070653752,201
"202",3.71,8.38396207474266,202
"203",3.71,8.31966040801211,203
"204",3.71,8.25624336641934,204
"205",3.71,8.19369877980339,205
"206",3.71,8.13201464543331,206
"207",3.71,8.07117912570481,207
"208",3.71,8.01118054586851,208
"209",3.71,7.95200739178947,209
"210",3.71,7.89364830773756,210
"211",3.71,7.83609209420821,211
"212",3.71,7.77932770577318,212
"213",3.71,7.72334424896081,213
"214",3.71,7.66813098016555,214
"215",3.71,7.61367730358614,215
"216",3.71,7.55997276919224,216
"217",3.71,7.50700707071898,217
"218",3.71,7.45477004368912,218
"219",3.71,7.40325166346241,219
"220",3.71,7.35244204331181,220
"221",3.71,7.30233143252615,221
"222",3.71,7.2529102145389,222
"223",3.71,7.20416890508271,223
"224",3.71,7.15609815036928,224
"225",3.71,7.1086887252943,225
"226",3.71,7.06193153166714,226
"227",3.71,7.01581759646481,227
"228",3.71,6.97033807010995,228
"229",3.71,6.92548422477261,229
"230",3.71,6.88124745269524,230
"231",3.71,6.83761926454086,231
"232",3.71,6.79459128776387,232
"233",3.71,6.75215526500332,233
"234",3.71,6.71030305249824,234
"235",3.71,6.66902661852482,235
"236",3.71,6.62831804185507,236
"237",3.71,6.58816951023665,237
"238",3.71,6.54857331889369,238
"239",3.71,6.50952186904816,239
"240",3.71,6.47100766646162,240
"241",3.71,6.43302331999705,241
"242",3.71,6.39556154020039,242
"243",3.71,6.35861513790168,243
"244",3.71,6.32217702283542,244
"245",3.71,6.28624020227985,245
"246",3.71,6.25079777971506,246
"247",3.71,6.21584295349946,247
"248",3.71,6.18136901556451,248
"249",3.71,6.14736935012739,249
"250",3.71,6.11383743242141,250
"251",3.71,6.08076682744384,251
"252",3.71,6.04815118872098,252
"253",3.71,6.01598425709028,253
"254",3.71,5.98425985949908,254
"255",3.71,5.95297190782005,255
"256",3.71,5.92211439768277,256
