"","RoomTemp","MilkTemp","Time"
"1",23.8,7,1
"2",23.8,7.20342803086768,2
"3",23.8,7.40439279008401,3
"4",23.8,7.60292410494075,4
"5",23.8,7.7990514415566,5
"6",23.8,7.9928039092506,6
"7",23.8,8.18421026486254,7
"8",23.8,8.37329891702104,8
"9",23.8,8.56009793036001,9
"10",23.8,8.74463502968401,10
"11",23.8,8.92693760408316,11
"12",23.8,9.10703271099825,12
"13",23.8,9.28494708023663,13
"14",23.8,9.46070711793947,14
"15",23.8,9.63433891050093,15
"16",23.8,9.80586822843997,16
"17",23.8,9.97532053022517,17
"18",23.8,10.1427209660533,18
"19",23.8,10.3080943815823,19
"20",23.8,10.4714653216184,20
"21",23.8,10.6328580337598,21
"22",23.8,10.7922964719947,22
"23",23.8,10.9498043002574,23
"24",23.8,11.1054048959397,24
"25",23.8,11.2591213533612,25
"26",23.8,11.4109764871967,26
"27",23.8,11.5609928358624,27
"28",23.8,11.709192664861,28
"29",23.8,11.8555979700864,29
"30",23.8,12.0002304810887,30
"31",23.8,12.1431116642985,31
"32",23.8,12.2842627262137,32
"33",23.8,12.4237046165468,33
"34",23.8,12.561458031334,34
"35",23.8,12.6975434160072,35
"36",23.8,12.8319809684284,36
"37",23.8,12.9647906418874,37
"38",23.8,13.0959921480636,38
"39",23.8,13.2256049599512,39
"40",23.8,13.3536483147496,40
"41",23.8,13.4801412167188,41
"42",23.8,13.6051024399995,42
"43",23.8,13.7285505314,43
"44",23.8,13.8505038131488,44
"45",23.8,13.9709803856141,45
"46",23.8,14.08999812999,46
"47",23.8,14.2075747109505,47
"48",23.8,14.3237275792718,48
"49",23.8,14.4384739744214,49
"50",23.8,14.5518309271179,50
"51",23.8,14.6638152618576,51
"52",23.8,14.7744435994126,52
"53",23.8,14.8837323592969,53
"54",23.8,14.9916977622039,54
"55",23.8,15.0983558324136,55
"56",23.8,15.2037224001709,56
"57",23.8,15.3078131040355,57
"58",23.8,15.4106433932026,58
"59",23.8,15.5122285297959,59
"60",23.8,15.6125835911331,60
"61",23.8,15.7117234719634,61
"62",23.8,15.8096628866784,62
"63",23.8,15.9064163714958,63
"64",23.8,16.001998286617,64
"65",23.8,16.0964228183584,65
"66",23.8,16.1897039812571,66
"67",23.8,16.2818556201508,67
"68",23.8,16.3728914122324,68
"69",23.8,16.4628248690806,69
"70",23.8,16.5516693386648,70
"71",23.8,16.6394380073263,71
"72",23.8,16.7261439017356,72
"73",23.8,16.8117998908255,73
"74",23.8,16.8964186877016,74
"75",23.8,16.9800128515288,75
"76",23.8,17.0625947893952,76
"77",23.8,17.1441767581542,77
"78",23.8,17.224770866243,78
"79",23.8,17.3043890754802,79
"80",23.8,17.3830432028407,80
"81",23.8,17.4607449222103,81
"82",23.8,17.5375057661176,82
"83",23.8,17.6133371274461,83
"84",23.8,17.6882502611251,84
"85",23.8,17.7622562857998,85
"86",23.8,17.8353661854821,86
"87",23.8,17.9075908111806,87
"88",23.8,17.9789408825109,88
